Passenger_ID,Survive,Honorific,First Name,Last Name,Unmarried Name,Gender,Age,Siblings/Spouses On Board,Parents/Kids On Board,Boarding_ID,Class,Ticket Number,Fare,Cabins,Embarked From
21994,False,Don,Manuel,Uruchurtu,NULL,male,40.0,0,0,16252,1,17601,27.72,NULL,Cherbourg
21995,True,Mrs,William,Spencer,Marie Eugenie,female,NULL,1,0,16253,1,17569,146.52,B78,Cherbourg
21996,True,Miss,Mary,Glynn,NULL,female,NULL,0,0,16254,3,335677,7.75,NULL,Queenstown
21997,False,Mr,Edward,Wheadon,NULL,male,66.0,0,0,16255,2,24579,10.5,NULL,Southampton
21998,False,Mr,Edgar,Meyer,NULL,male,28.0,1,0,16256,1,17604,82.17,NULL,Cherbourg
21999,False,Mr,Alexander,Holverson,NULL,male,42.0,1,0,16257,1,113789,52.0,NULL,Southampton
22000,True,Mr,Hanna,Mamee,NULL,male,NULL,0,0,16258,3,2677,7.23,NULL,Cherbourg
22001,False,Mr,Ernest,Cann,NULL,male,21.0,0,0,16259,3,52152,8.05,NULL,Southampton
22002,False,Miss,Augusta,Vander Planke,NULL,female,18.0,2,0,16260,3,345764,18.0,NULL,Southampton
22003,True,Miss,Jamila,Nicola-Yarred,NULL,female,14.0,1,0,16261,3,2651,11.24,NULL,Cherbourg
22004,False,Mrs,Johan,Ahlin,Johanna Persdotter Larsson,female,40.0,1,0,16262,3,7546,9.48,NULL,Southampton
22005,False,Mrs,William,Turpin,Dorothy Ann Wonnacott,female,27.0,1,0,16263,2,11668,21.0,NULL,Southampton
22006,False,Mr,Theodor,Kraeff,NULL,male,NULL,0,0,16264,3,349253,7.9,NULL,Cherbourg
22007,True,Miss,Simonne,Laroche,NULL,female,3.0,1,2,16265,2,2123,41.58,NULL,Cherbourg
22008,True,Miss,Margaret,Devaney,NULL,female,19.0,0,0,16266,3,330958,7.88,NULL,Queenstown
22009,False,Mr,William,Rogers,NULL,male,NULL,0,0,16267,3,423567,8.05,NULL,Southampton
22010,False,Mr,Denis,Lennon,NULL,male,NULL,1,0,16268,3,370371,15.5,NULL,Queenstown
22011,True,Miss,Bridget,O'Driscoll,NULL,female,NULL,0,0,16269,3,14311,7.75,NULL,Queenstown
22012,False,Mr,Youssef,Samaan,NULL,male,NULL,2,0,16270,3,2662,21.68,NULL,Cherbourg
22013,False,Mrs,Josef,Arnold-Franchi,Josefine Franchi,female,18.0,1,0,16271,3,349237,17.8,NULL,Southampton
22014,False,Master,Juha,Panula,NULL,male,7.0,4,1,16272,3,3101295,39.69,NULL,Southampton
22015,False,Mr,Richard,Nosworthy,NULL,male,21.0,0,0,16273,3,439886,7.8,NULL,Southampton
22016,True,Mrs,Henry,Harper,Myna Haxtun,female,49.0,1,0,16274,1,17572,76.73,D33,Cherbourg
22017,True,Mrs,Lizzie,Faunthorpe,Elizabeth Anne Wilkinson,female,29.0,1,0,16275,2,2926,26.0,NULL,Southampton
22018,False,Mr,Engelhart,Ostby,NULL,male,65.0,0,1,16276,1,113509,61.98,B30,Cherbourg
22019,True,Mr,Hugh,Woolner,NULL,male,NULL,0,0,16277,1,19947,35.5,C52,Southampton
22020,True,Miss,Emily,Rugg,NULL,female,21.0,0,0,16278,2,31026,10.5,NULL,Southampton
22021,False,Mr,Mansouer,Novel,NULL,male,28.5,0,0,16279,3,2697,7.23,NULL,Cherbourg
22022,True,Miss,Constance,West,NULL,female,5.0,1,2,16280,2,34651,27.75,NULL,Southampton
22023,False,Master,William,Goodwin,NULL,male,11.0,5,2,16281,3,2144,46.9,NULL,Southampton
22024,False,Mr,Orsen,Sirayanian,NULL,male,22.0,0,0,16282,3,2669,7.23,NULL,Cherbourg
22025,True,Miss,Amelie,Icard,NULL,female,38.0,0,0,16283,1,113572,80.0,B28,NULL
22026,False,Mr,Henry,Harris,NULL,male,45.0,1,0,16284,1,36973,83.48,C83,Southampton
22027,False,Master,Harald,Skoog,NULL,male,4.0,3,2,16285,3,347088,27.9,NULL,Southampton
22028,False,Mr,Albert,Stewart,NULL,male,NULL,0,0,16286,1,17605,27.72,NULL,Cherbourg
22029,True,Master,Gerios,Moubarek,NULL,male,NULL,1,1,16287,3,2661,15.25,NULL,Cherbourg
22030,True,Mrs,Elizabeth,Nye,Elizabeth Ramell,female,29.0,0,0,16288,2,29395,10.5,F33,Southampton
22031,False,Mr,Ernest,Crease,NULL,male,19.0,0,0,16289,3,3464,8.16,NULL,Southampton
22032,True,Miss,Erna,Andersson,NULL,female,17.0,4,2,16290,3,3101281,7.92,NULL,Southampton
22033,False,Mr,Vincenz,Kink,NULL,male,26.0,2,0,16291,3,315151,8.66,NULL,Southampton
22034,False,Mr,Stephen,Jenkin,NULL,male,32.0,0,0,16292,2,33111,10.5,NULL,Southampton
22035,False,Miss,Lillian,Goodwin,NULL,female,16.0,5,2,16281,3,2144,46.9,NULL,Southampton
22036,False,Mr,Ambrose,Hood,NULL,male,21.0,0,0,16293,2,14879,73.5,NULL,Southampton
22037,False,Mr,Apostolos,Chronopoulos,NULL,male,26.0,1,0,16294,3,2680,14.45,NULL,Cherbourg
22038,True,Mr,Lee,Bing,NULL,male,32.0,0,0,16295,3,1601,56.5,NULL,Southampton
22039,False,Mr,Sigurd,Moen,NULL,male,25.0,0,0,16296,3,348123,7.65,F G73,Southampton
22040,False,Mr,Ivan,Staneff,NULL,male,NULL,0,0,16297,3,349208,7.9,NULL,Southampton
22041,False,Mr,Rahamin,Moutal,NULL,male,NULL,0,0,16298,3,374746,8.05,NULL,Southampton
22042,True,Master,Alden,Caldwell,NULL,male,0.83,0,2,16299,2,248738,29.0,NULL,Southampton
22043,True,Miss,Elizabeth,Dowdell,NULL,female,30.0,0,0,16300,3,364516,12.48,NULL,Southampton
22044,False,Mr,Achille,Waelens,NULL,male,22.0,0,0,16301,3,345767,9.0,NULL,Southampton
22045,True,Mr,Jan,Sheerlinck,NULL,male,29.0,0,0,16302,3,345779,9.5,NULL,Southampton
22046,True,Miss,Brigdet,McDermott,NULL,female,NULL,0,0,16303,3,330932,7.79,NULL,Queenstown
22047,False,Mr,Francisco,Carrau,NULL,male,28.0,0,0,16304,1,113059,47.1,NULL,Southampton
22048,True,Miss,Bertha,Ilett,NULL,female,17.0,0,0,16305,2,14885,10.5,NULL,Southampton
22049,True,Mrs,Karl,Backstrom,Maria Mathilda Gustafsson,female,33.0,3,0,16306,3,3101278,15.85,NULL,Southampton
22050,False,Mr,William,Ford,NULL,male,16.0,1,3,16307,3,6608,34.38,NULL,Southampton
22051,False,Mr,Selman,Slocovski,NULL,male,NULL,0,0,16308,3,392086,8.05,NULL,Southampton
22052,True,Miss,Mabel,Fortune,NULL,female,23.0,3,2,16249,1,19950,263.0,C23 C25 C27,Southampton
22053,False,Mr,Francesco,Celotti,NULL,male,24.0,0,0,16309,3,343275,8.05,NULL,Southampton
22054,False,Mr,Emil,Christmann,NULL,male,29.0,0,0,16310,3,343276,8.05,NULL,Southampton
22055,False,Mr,Paul,Andreasson,NULL,male,20.0,0,0,16311,3,347466,7.85,NULL,Southampton
22056,False,Mr,Herbert,Chaffee,NULL,male,46.0,1,0,16312,1,5734,61.18,E31,Southampton
22057,False,Mr,Bertram,Dean,NULL,male,26.0,1,2,16313,3,2315,20.58,NULL,Southampton
22058,False,Mr,Daniel,Coxon,NULL,male,59.0,0,0,16314,3,364500,7.25,NULL,Southampton
22059,False,Mr,Charles,Shorney,NULL,male,NULL,0,0,16315,3,374910,8.05,NULL,Southampton
22060,False,Mr,George,Goldschmidt,NULL,male,71.0,0,0,16316,1,17754,34.65,A5,Cherbourg
22061,True,Mr,William,Greenfield,NULL,male,23.0,0,1,16317,1,17759,63.36,D10 D12,Cherbourg
22062,True,Mrs,John,Doling,Ada Julia Bone,female,34.0,0,1,16318,2,231919,23.0,NULL,Southampton
22063,False,Mr,Sinai,Kantor,NULL,male,34.0,1,0,16319,2,244367,26.0,NULL,Southampton
22064,False,Miss,Matilda,Petranec,NULL,female,28.0,0,0,16320,3,349245,7.9,NULL,Southampton
22065,False,Mr,Pastcho,Petroff,Pentcho,male,NULL,0,0,16321,3,349215,7.9,NULL,Southampton
22066,False,Mr,Richard,White,NULL,male,21.0,0,1,16322,1,35281,77.29,D26,Southampton
22067,False,Mr,Gustaf,Johansson,NULL,male,33.0,0,0,16323,3,7540,8.65,NULL,Southampton
22068,False,Mr,Anders,Gustafsson,NULL,male,37.0,2,0,16324,3,3101276,7.92,NULL,Southampton
22069,False,Mr,Stoytcho,Mionoff,NULL,male,28.0,0,0,16325,3,349207,7.9,NULL,Southampton
22070,True,Miss,Anna,Salkjelsvik,NULL,female,21.0,0,0,16326,3,343120,7.65,NULL,Southampton
22071,True,Mr,Albert,Moss,NULL,male,NULL,0,0,16327,3,312991,7.78,NULL,Southampton
22072,False,Mr,Tido,Rekic,NULL,male,38.0,0,0,16328,3,349249,7.9,NULL,Southampton
22073,True,Miss,Bertha,Moran,NULL,female,NULL,1,0,16329,3,371110,24.15,NULL,Queenstown
22074,False,Mr,Walter,Porter,NULL,male,47.0,0,0,16330,1,110465,52.0,C110,Southampton
22075,False,Miss,Hileni,Zabour,NULL,female,14.5,1,0,16331,3,2665,14.45,NULL,Cherbourg
22076,False,Mr,David,Barton,NULL,male,22.0,0,0,16332,3,324669,8.05,NULL,Southampton
22077,False,Miss,Katriina,Jussila,NULL,female,20.0,1,0,16333,3,4136,9.82,NULL,Southampton
22078,False,Miss,Malake,Attalah,NULL,female,17.0,0,0,16334,3,2627,14.46,NULL,Cherbourg
22079,False,Mr,Edvard,Pekoniemi,NULL,male,21.0,0,0,16335,3,23101294,7.92,NULL,Southampton
22080,False,Mr,Patrick,Connors,NULL,male,70.5,0,0,16336,3,370369,7.75,NULL,Queenstown
22081,False,Mr,William,Turpin,NULL,male,29.0,1,0,16263,2,11668,21.0,NULL,Southampton
22082,False,Mr,Quigg,Baxter,NULL,male,24.0,0,1,16337,1,17558,247.52,B58 B60,Cherbourg
22083,False,Miss,Ellis,Andersson,NULL,female,2.0,4,2,16236,3,347082,31.28,NULL,Southampton
22084,False,Mr,Stanley,Hickman,NULL,male,21.0,2,0,16293,2,14879,73.5,NULL,Southampton
22085,False,Mr,Leonard,Moore,NULL,male,NULL,0,0,16338,3,454510,8.05,NULL,Southampton
22086,False,Mr,Nicholas,Nasser,NULL,male,32.5,1,0,16232,2,237736,30.07,NULL,Cherbourg
22087,True,Miss,Susan,Webber,NULL,female,32.5,0,0,16339,2,27267,13.0,E101,Southampton
22088,False,Mr,Percival,White,NULL,male,54.0,0,1,16322,1,35281,77.29,D26,Southampton
22089,True,Master,Elias,Nicola-Yarred,NULL,male,12.0,1,0,16261,3,2651,11.24,NULL,Cherbourg
22090,False,Mr,Martin,McMahon,NULL,male,NULL,0,0,16340,3,370372,7.75,NULL,Queenstown
22091,True,Mr,Fridtjof,Madsen,NULL,male,24.0,0,0,16341,3,17369,7.14,NULL,Southampton
22092,True,Miss,Anna,Peter,NULL,female,NULL,1,1,16342,3,2668,22.36,E69 F,Cherbourg
22093,False,Mr,Johan,Ekstrom,NULL,male,45.0,0,0,16343,3,347061,6.98,NULL,Southampton
22094,False,Mr,Jozef,Drazenoic,NULL,male,33.0,0,0,16344,3,349241,7.9,NULL,Cherbourg
22095,False,Mr,Domingos,Coelho,NULL,male,20.0,0,0,16345,3,3101307,7.05,NULL,Southampton
22096,False,Mrs,Alexander,Robins,Grace Charity Laury,female,47.0,1,0,16346,3,53337,14.5,NULL,Southampton
22097,True,Mrs,Leopold,Weisz,Mathilde Francoise Pede,female,29.0,1,0,16347,2,228414,26.0,NULL,Southampton
22098,False,Mr,Samuel,Sobey,NULL,male,25.0,0,0,16348,2,29178,13.0,NULL,Southampton
22099,False,Mr,Emile,Richard,NULL,male,23.0,0,0,16349,2,2133,15.05,NULL,Cherbourg
22100,True,Miss,Helen,Newsom,NULL,female,19.0,0,2,16350,1,11752,26.28,D47,Southampton
22101,False,Mr,Jacques,Futrelle,NULL,male,37.0,1,0,16226,1,113803,53.1,C123,Southampton
22102,False,Mr,Olaf,Osen,NULL,male,16.0,0,0,16351,3,7534,9.22,NULL,Southampton
22103,False,Mr,Victor,Giglio,NULL,male,24.0,0,0,16352,1,17593,79.2,B86,Cherbourg
22104,False,Mrs,Joseph,Boulos,Sultana,female,NULL,0,2,16353,3,2678,15.25,NULL,Cherbourg
22105,True,Miss,Anna,Nysten,NULL,female,22.0,0,0,16354,3,347081,7.75,NULL,Southampton
22106,True,Mrs,Pekka,Hakkarainen,Elin Matilda Dolck,female,24.0,1,0,16355,3,23101279,15.85,NULL,Southampton
22107,False,Mr,Jeremiah,Burke,NULL,male,19.0,0,0,16356,3,365222,6.75,NULL,Queenstown
22108,False,Mr,Edgardo,Andrew,NULL,male,18.0,0,0,16357,2,231945,11.5,NULL,Southampton
22109,False,Mr,Joseph,Nicholls,NULL,male,19.0,1,1,16358,2,33112,36.75,NULL,Southampton
22110,True,Mr,August,Andersson,Wennerstrom,male,27.0,0,0,16359,3,350043,7.8,NULL,Southampton
22111,False,Miss,Robina,Ford,NULL,female,9.0,2,2,16307,3,6608,34.38,NULL,Southampton
22112,False,Mr,Michel,Navratil,Louis M Hoffman,male,36.5,0,2,16360,2,230080,26.0,F2,Southampton
22113,False,Rev,Thomas,Byles,NULL,male,42.0,0,0,16361,2,244310,13.0,NULL,Southampton
22114,False,Rev,Robert,Bateman,NULL,male,51.0,0,0,16362,2,1166,12.52,NULL,Southampton
22115,True,Mrs,Thomas,Pears,Edith Wearne,female,22.0,1,0,16363,1,113776,66.6,C2,Southampton
22116,False,Mr,Alfonzo,Meo,NULL,male,55.5,0,0,16364,3,511206,8.05,NULL,Southampton
22117,False,Mr,Austin,van Billiard,NULL,male,40.5,0,2,16365,3,5851,14.5,NULL,Southampton
22118,False,Mr,Ole,Olsen,NULL,male,NULL,0,0,16366,3,265302,7.31,NULL,Southampton
22119,False,Mr,Charles,Williams,NULL,male,51.0,0,1,16367,1,17597,61.38,NULL,Cherbourg
22120,True,Miss,Katherine,Gilnagh,NULL,female,16.0,0,0,16368,3,35851,7.73,NULL,Queenstown
22121,False,Mr,Harry,Corn,NULL,male,30.0,0,0,16369,3,392090,8.05,NULL,Southampton
22122,False,Mr,Mile,Smiljanic,NULL,male,NULL,0,0,16370,3,315037,8.66,NULL,Southampton
22123,False,Master,Thomas,Sage,NULL,male,NULL,8,2,16371,3,2343,69.55,NULL,Southampton
22124,False,Mr,John,Cribb,NULL,male,44.0,0,1,16372,3,371362,16.1,NULL,Southampton
22125,True,Mrs,James,Watt,Elizabeth Bessie Inglis Milne,female,40.0,0,0,16373,2,33595,15.75,NULL,Southampton
22126,False,Mr,John,Bengtsson,NULL,male,26.0,0,0,16374,3,347068,7.78,NULL,Southampton
22127,False,Mr,Jovo,Calic,NULL,male,17.0,0,0,16375,3,315093,8.66,NULL,Southampton
22128,False,Master,Eino,Panula,NULL,male,1.0,4,1,16272,3,3101295,39.69,NULL,Southampton
22129,True,Master,Frank,Goldsmith,NULL,male,9.0,0,2,16376,3,363291,20.52,NULL,Southampton
22130,True,Mrs,Edith,Chibnall,Edith Martha Bowerman,female,NULL,0,1,16377,1,113505,55.0,E33,Southampton
22131,False,Mrs,William,Skoog,Anna Bernhardina Karlsson,female,45.0,1,4,16285,3,347088,27.9,NULL,Southampton
22132,False,Mr,John,Baumann,NULL,male,NULL,0,0,16378,1,17318,25.92,NULL,Southampton
22133,False,Mr,Lee,Ling,NULL,male,28.0,0,0,16295,3,1601,56.5,NULL,Southampton
22134,False,Mr,Wyckoff,Van der hoef,NULL,male,61.0,0,0,16379,1,111240,33.5,B19,Southampton
22135,False,Master,Arthur,Rice,NULL,male,4.0,4,1,16239,3,382652,29.12,NULL,Queenstown
22136,True,Miss,Eleanor,Johnson,NULL,female,1.0,1,1,16231,3,347742,11.13,NULL,Southampton
22137,False,Mr,Antti,Sivola,NULL,male,21.0,0,0,16380,3,23101280,7.92,NULL,Southampton
22138,False,Mr,James,Smith,NULL,male,56.0,0,0,16381,1,17764,30.7,A7,Cherbourg
22139,False,Mr,Klas,Klasen,NULL,male,18.0,1,1,16382,3,350404,7.85,NULL,Southampton
22140,False,Master,Henry,Lefebre,NULL,male,NULL,3,1,16383,3,4133,25.47,NULL,Southampton
22141,False,Miss,Ann,Isham,NULL,female,50.0,0,0,16384,1,17595,28.71,C49,Cherbourg
22142,False,Mr,Reginald,Hale,NULL,male,30.0,0,0,16385,2,250653,13.0,NULL,Southampton
22143,False,Mr,Lionel,Leonard,NULL,male,36.0,0,0,16386,3,NULL,0.0,NULL,Southampton
22144,False,Miss,Constance,Sage,NULL,female,NULL,8,2,16371,3,2343,69.55,NULL,Southampton
22145,False,Mr,Rene,Pernot,NULL,male,NULL,0,0,16387,2,2131,15.05,NULL,Cherbourg
22146,False,Master,Clarence,Asplund,NULL,male,9.0,4,2,16247,3,347077,31.39,NULL,Southampton
22147,True,Master,Richard,Becker,NULL,male,1.0,2,1,16388,2,230136,39.0,F4,Southampton
22148,True,Miss,Luise,Kink-Heilmann,NULL,female,4.0,0,2,16389,3,315153,22.02,NULL,Southampton
22149,False,Mr,Hugh,Rood,NULL,male,NULL,0,0,16390,1,113767,50.0,A32,Southampton
22150,True,Mrs,Thomas,O'Brien,Johanna Hannah Godfrey,female,NULL,1,0,16391,3,370365,15.5,NULL,Queenstown
22151,True,Mr,Charles,Romaine,Mr C Rolmane,male,45.0,0,0,16392,1,111428,26.55,NULL,Southampton
22152,False,Mr,John,Bourke,NULL,male,40.0,1,1,16393,3,364849,15.5,NULL,Queenstown
22153,False,Mr,Stjepan,Turcin,NULL,male,36.0,0,0,16394,3,349247,7.9,NULL,Southampton
22154,True,Mrs,Rosa,Pinsky,Rosa,female,32.0,0,0,16395,2,234604,13.0,NULL,Southampton
22155,False,Mr,William,Carbines,NULL,male,19.0,0,0,16396,2,28424,13.0,NULL,Southampton
22156,True,Miss,Carla,Andersen-Jensen,NULL,female,19.0,1,0,16397,3,350046,7.85,NULL,Southampton
22157,True,Master,Michel,Navratil,NULL,male,3.0,1,1,16360,2,230080,26.0,F2,Southampton
22158,True,Mrs,James,Brown,Margaret Tobin,female,44.0,0,0,16398,1,17610,27.72,B4,Cherbourg
22159,True,Miss,Elise,Lurette,NULL,female,58.0,0,0,16253,1,17569,146.52,B80,Cherbourg
22160,False,Mr,Robert,Mernagh,NULL,male,NULL,0,0,16399,3,368703,7.75,NULL,Queenstown
22161,False,Mr,Karl,Olsen,NULL,male,42.0,0,1,16400,3,4579,8.4,NULL,Southampton
22162,True,Miss,Margaret,Madigan,NULL,female,NULL,0,0,16401,3,370370,7.75,NULL,Queenstown
22163,False,Miss,Henriette,Yrois,Mrs Harbeck,female,24.0,0,0,16402,2,248747,13.0,NULL,Southampton
22164,False,Mr,Nestor,Vande Walle,NULL,male,28.0,0,0,16403,3,345770,9.5,NULL,Southampton
22165,False,Mr,Frederick,Sage,NULL,male,NULL,8,2,16371,3,2343,69.55,NULL,Southampton
22166,False,Mr,Jakob,Johanson,NULL,male,34.0,0,0,16404,3,3101264,6.5,NULL,Southampton
22167,False,Mr,Gerious,Youseff,NULL,male,45.5,0,0,16405,3,2628,7.22,NULL,Cherbourg
22168,True,Mr,Gurshon,Cohen,NULL,male,18.0,0,0,16406,3,53540,8.05,NULL,Southampton
22169,False,Miss,Telma,Strom,NULL,female,2.0,0,1,16407,3,347054,10.46,G6,Southampton
22170,False,Mr,Karl,Backstrom,NULL,male,32.0,1,0,16306,3,3101278,15.85,NULL,Southampton
22171,True,Mr,Nassef,Albimona,NULL,male,26.0,0,0,16408,3,2699,18.79,NULL,Cherbourg
22172,True,Miss,Helen,Carr,NULL,female,16.0,0,0,16409,3,367231,7.75,NULL,Queenstown
22173,True,Mr,Henry,Blank,NULL,male,40.0,0,0,16410,1,112277,31.0,A31,Cherbourg
22174,False,Mr,Ahmed,Ali,NULL,male,24.0,0,0,16411,3,3101311,7.05,NULL,Southampton
22175,True,Miss,Clear,Cameron,NULL,female,35.0,0,0,16412,2,13528,21.0,NULL,Southampton
22176,False,Mr,John,Perkin,NULL,male,22.0,0,0,16413,3,521174,7.25,NULL,Southampton
22177,False,Mr,Hans,Givard,NULL,male,30.0,0,0,16414,2,250646,13.0,NULL,Southampton
22178,False,Mr,Philip,Kiernan,NULL,male,NULL,1,0,16415,3,367229,7.75,NULL,Queenstown
22179,True,Miss,Madeleine,Newell,NULL,female,31.0,1,0,16416,1,35273,113.28,D36,Cherbourg
22180,True,Miss,Eliina,Honkanen,NULL,female,27.0,0,0,16417,3,23101283,7.92,NULL,Southampton
22181,False,Mr,Sidney,Jacobsohn,NULL,male,42.0,1,0,16418,2,243847,27.0,NULL,Southampton
22182,True,Miss,Albina,Bazzani,NULL,female,32.0,0,0,16419,1,11813,76.29,D15,Cherbourg
22183,False,Mr,Walter,Harris,NULL,male,30.0,0,0,16420,2,14208,10.5,NULL,Southampton
22184,True,Mr,Victor,Sunderland,NULL,male,16.0,0,0,16421,3,392089,8.05,NULL,Southampton
22185,False,Mr,James,Bracken,NULL,male,27.0,0,0,16422,2,220367,13.0,NULL,Southampton
22186,False,Mr,George,Green,NULL,male,51.0,0,0,16423,3,21440,8.05,NULL,Southampton
22187,False,Mr,Christo,Nenkoff,NULL,male,NULL,0,0,16424,3,349234,7.9,NULL,Southampton
22188,True,Mr,Frederick,Hoyt,NULL,male,38.0,1,0,16425,1,19943,90.0,C93,Southampton
22189,False,Mr,Karl,Berglund,NULL,male,22.0,0,0,16426,3,4348,9.35,NULL,Southampton
22190,True,Mr,William,Mellors,NULL,male,19.0,0,0,16427,2,751,10.5,NULL,Southampton
22191,False,Mr,John,Lovell,Henry,male,20.5,0,0,16428,3,521173,7.25,NULL,Southampton
22192,False,Mr,Arne,Fahlstrom,NULL,male,18.0,0,0,16429,2,236171,13.0,NULL,Southampton
22193,False,Miss,Mathilde,Lefebre,NULL,female,NULL,3,1,16383,3,4133,25.47,NULL,Southampton
22194,True,Mrs,Henry,Harris,Irene Wallach,female,35.0,1,0,16284,1,36973,83.48,C83,Southampton
22195,False,Mr,Bengt,Larsson,NULL,male,29.0,0,0,16430,3,347067,7.78,NULL,Southampton
22196,False,Mr,Ernst,Sjostedt,NULL,male,59.0,0,0,16431,2,237442,13.5,NULL,Southampton
22197,True,Miss,Lillian,Asplund,NULL,female,5.0,4,2,16247,3,347077,31.39,NULL,Southampton
22198,False,Mr,Robert,Leyson,NULL,male,24.0,0,0,16432,2,29566,10.5,NULL,Southampton
22199,False,Miss,Alice,Harknett,NULL,female,NULL,0,0,16433,3,6609,7.55,NULL,Southampton
22200,False,Mr,Stephen,Hold,NULL,male,44.0,1,0,16434,2,26707,26.0,NULL,Southampton
22201,True,Miss,Marjorie,Collyer,NULL,female,8.0,0,2,16435,2,31921,26.25,NULL,Southampton
22202,False,Mr,Frederick,Pengelly,NULL,male,19.0,0,0,16436,2,28665,10.5,NULL,Southampton
22203,False,Mr,George,Hunt,NULL,male,33.0,0,0,16437,2,1585,12.28,NULL,Southampton
22204,False,Miss,Thamine,Zabour,NULL,female,NULL,1,0,16331,3,2665,14.45,NULL,Cherbourg
22205,True,Miss,Katherine,Murphy,NULL,female,NULL,1,0,16438,3,367230,15.5,NULL,Queenstown
22206,False,Mr,Reginald,Coleridge,NULL,male,29.0,0,0,16439,2,14263,10.5,NULL,Southampton
22207,False,Mr,Matti,Maenpaa,NULL,male,22.0,0,0,16440,3,23101275,7.12,NULL,Southampton
22208,False,Mr,Sleiman,Attalah,NULL,male,30.0,0,0,16441,3,2694,7.22,NULL,Cherbourg
22209,False,Dr,William,Minahan,NULL,male,44.0,2,0,16442,1,19928,90.0,C78,Queenstown
22210,False,Miss,Agda,Lindahl,NULL,female,25.0,0,0,16443,3,347071,7.78,NULL,Southampton
22211,True,Mrs,William,Hamalainen,Anna,female,24.0,0,2,16444,2,250649,14.5,NULL,Southampton
22212,True,Mr,Richard,Beckwith,NULL,male,37.0,1,1,16445,1,11751,52.55,D35,Southampton
22213,False,Rev,Ernest,Carter,NULL,male,54.0,1,0,16446,2,244252,26.0,NULL,Southampton
